childid,mhhinco_1992,mhhinco_1993,mhhinco_1994,mhhinco_1996,mhhinco_1998,mhhinco_2000,mhhinco_2002,mhhinco_2004,mhhinco_2006,mhhinco_2008,mhhinco_2010,mhhinco_2012,mhhinco_2014,mhhinco_2016,mhhinco_2018,mhhinco_1982,mhhinco_1983,mhhinco_1984,mhhinco_1985,mhhinco_1986,mhhinco_1987,mhhinco_1988,mhhinco_1989,mhhinco_1990,mhhinco_1991,mhhinco_1981,mhhinco_1979,mhhinco_1980
201,D,65000,D,D,51000,45000,50450,55000,17500,7000,16800,E,E,E,E,,,,,,,,,,,,,
202,,,D,D,51000,45000,50450,55000,17500,7000,16800,E,E,E,E,,,,,,,,,,,,,
301,12000,D,23000,85000,43700,E,E,,E,E,,E,E,E,E,17000,9789,9750,19300,30000,21500,31000,16443,28656,24200,,,
302,12000,D,23000,85000,43700,64000,E,,E,E,,E,E,E,E,,9789,9750,19300,30000,21500,31000,16443,28656,24200,,,
303,12000,D,23000,85000,43700,64000,D,,E,E,,E,E,E,E,,,,,30000,21500,31000,16443,28656,24200,,,
401,30575,33000,,R,53000,,,,,,,,,E,E,12119,2068,6064,5448,10290,D,21320,22110,6992,,14000,,
403,,,,R,53000,,,,,,,,,E,E,,,,,,,,,,,,,
801,22500,18000,E,E,E,E,E,E,E,E,E,E,E,E,E,25700,27761,22005,D,D,29000,D,29276,24200,26480,23706,7227,11876
802,22500,18000,22747,27500,E,E,E,E,E,E,E,E,E,E,E,25700,27761,22005,D,D,29000,D,29276,24200,26480,23706,7227,11876
803,22500,18000,22747,27500,D,D,E,E,E,E,E,E,E,E,E,25700,27761,22005,D,D,29000,D,29276,24200,26480,,,
1001,81000,25650,53000,,,,,,,,,,,,,25000,21300,13000,18000,,,30000,,D,47600,,,
1002,81000,25650,53000,,,,,,,,,,,,,,,,,,,30000,,D,47600,,,
1201,,85800,90350,,,,,,,,,,,,,,,,,,,,,,,,,
1202,,85800,90350,,,,,,,,,,,,,,,,,,,,,,,,,
1601,75500,72200,69000,83500,90350,81200,86400,134636,132000,E,E,E,E,E,E,,,,,,,,47676,72750,70580,,,
1602,,72200,69000,83500,90350,81200,86400,134636,132000,66000,119000,E,E,E,E,,,,,,,,,,,,,
1603,,,,83500,90350,81200,86400,134636,132000,66000,119000,90000,E,E,E,,,,,,,,,,,,,
1901,426,1560,6766,,0,,,,E,,E,,,,,,,,,,6000,17000,2382,7236,8676,,,
2001,70600,77410,82020,80400,84400,96400,91000,124600,126000,144600,,E,E,E,,,,,,,,,,68600,58500,,,
2501,48400,83000,94000,98000,145000,332808,390662,408473,479983,213000,E,E,E,E,E,,,,,,,,,65100,62000,,,
2502,,83000,94000,98000,145000,332808,390662,408473,479983,213000,440692,E,E,E,E,,,,,,,,,,,,,
2701,63023,72931,69971,84252,146829,146126,390662,408473,E,E,E,E,E,E,E,,,,,,36213,39902,46708,58214,57507,,,
2702,63023,72931,69971,84252,146829,146126,390662,408473,479983,265874,E,E,E,E,E,,,,,,,,,,57507,,,
3001,40000,23192,24800,24800,30680,35000,E,E,E,E,E,E,E,E,E,11500,,D,10207,D,16300,I,1800,17006,21000,,,
3002,40000,23192,24800,24800,30680,35000,35000,36000,E,E,E,E,E,E,E,,,,,D,16300,I,1800,17006,21000,,,
3003,40000,23192,24800,24800,30680,35000,35000,36000,113797,48000,E,E,E,E,E,,,,,,,,,,21000,,,
3501,48000,D,55030,D,56050,,,,,,,,,,,,,,,,,,R,48150,48400,,,
